供应商ID,年平均订货量,年平均供货量,供货稳定性系数,订单满足率,交易频率,订单增长系数
S001,46.2,9.8,20.79159722222221,0.21212121212121213,0.004166666666666667,-24.1
S002,61.8,54.6,16.34416666666667,0.883495145631068,0.0375,-4.7
S003,2855.8,2627.6,2239.9187326388887,0.9200924434484208,0.6666666666666666,-407.1
S004,142.6,12.8,229.83331597222232,0.08976157082748948,0.004166666666666667,-95.1
S005,1307.6,1382.4,11.671597222222221,1.0572040379320893,0.43333333333333335,648.9
S006,92.4,6.0,163.62666666666658,0.06493506493506493,0.0,-59.1
S007,1343.2,1389.6,371.21555555555557,1.0345443716497915,1.0,-70.8
S008,18.8,8.2,1.005399305555556,0.43617021276595747,0.004166666666666667,-2.9
S009,143.0,6.2,793.8274999999999,0.043356643356643354,0.0,28.7
S010,115.2,34.0,98.67993055555556,0.2951388888888889,0.03333333333333333,-48.0
S011,16.8,17.0,0.12914930555555554,1.0119047619047619,0.020833333333333332,-0.6
S012,61.6,5.8,44.50276041666665,0.09415584415584416,0.004166666666666667,-47.3
S013,8.8,8.8,0.08333333333333333,1.0,0.008333333333333333,-0.2
S014,6.4,5.6,0.07472222222222223,0.875,0.0,-0.3
S015,5576.6,5.6,449198.40859375,0.0010041961051536778,0.0,4342.0
S016,7.6,7.4,0.04581597222222221,0.9736842105263158,0.004166666666666667,-1.1
S017,38.8,27.6,3.9705555555555567,0.711340206185567,0.025,-13.6
S018,22.6,13.2,1.149149305555555,0.584070796460177,0.008333333333333333,-2.5
S019,55.4,21.8,25.926666666666655,0.3935018050541516,0.016666666666666666,-43.0
S020,36.6,14.4,3.315260416666667,0.39344262295081966,0.008333333333333333,-10.5
S021,64.8,16.0,239.1330555555555,0.24691358024691357,0.0,1.2
S022,62.8,28.0,28.124374999999997,0.445859872611465,0.020833333333333332,-46.0
S023,1493.2,326.2,8176.31484375,0.21845700508974014,0.1625,-603.3
S024,47.0,24.8,12.715260416666672,0.5276595744680851,0.020833333333333332,-17.4
S025,61.8,75.0,0.3577083333333333,1.2135922330097086,0.029166666666666667,-1.1
S026,4.6,5.6,0.04539930555555554,1.2173913043478262,0.0,-0.2
S027,16.6,16.2,0.1499305555555555,0.9759036144578314,0.008333333333333333,1.0
S028,29.2,21.2,2.738888888888888,0.726027397260274,0.03333333333333333,-5.2
S029,195.2,13.6,1493.1030555555553,0.06967213114754098,0.008333333333333333,36.4
S030,25.2,32.4,0.5691666666666665,1.2857142857142858,0.029166666666666667,-6.0
