供应商ID,W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W011,W012,W013,W014,W015,W016,W017,W018,W019,W020,W021,W022,W023,W024
S001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4133333333333333,0.38333333333333336,0.05,0.0,0.18333333333333332,0.36666666666666664,0.13333333333333333,0.15,0.1,0.0,0.25,0.1,0.25,0.0,0.0
S002,0.15,0.2,0.26666666666666666,0.75,0.26666666666666666,0.2,0.0,0.125,0.31666666666666665,0.3125,0.35,0.4014285714285714,0.4428571428571429,0.1,0.08333333333333334,0.2415204678362573,0.5,0.325,0.32288557213930347,0.35,0.1,0.1,0.21666666666666665,0.4666666666666666
S003,0.6531313131313132,0.32894736842105265,0.1,0.05,0.225,0.1,0.5599999999999999,0.7360366157619701,0.8308732015204272,4.132415078902126,3.1072206492100816,0.9537204522679179,0.9065445348964772,0.9393907215631453,0.9958408193204271,0.9183512633074263,0.9006399406581334,0.9380400810442653,3.2996056994517247,0.8722518141456291,0.9169501864770867,0.9506532883098349,0.9333392886301557,6.499214369938054
S004,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.15,0.2375,0.7,0.14666666666666667,0.16666666666666666,0.14166666666666666,0.4,0.8333333333333333,5.1,0.1,0.05,0.15,0.2,0.0,0.0
S005,0.2706109956109956,0.29570143235435725,0.278159833742679,0.28829534662867995,0.2818488529014845,0.28750070631666846,0.28869323447636697,0.2842325749368003,0.2932098765432099,0.39336002669336,0.5201601767467551,0.631047777097877,0.5413994472346875,0.553120227875574,0.5089197818897626,0.4806110921669432,0.46337695996353834,0.638379773839294,0.5956981821068508,0.4403388559006537,0.44929111851308645,0.37542792792792795,0.3521003212255992,0.2940035273368607
S006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.31666666666666665,0.06666666666666667,0.05,0.14166666666666666,0.0,0.18,0.1,0.0,0.0,0.0,0.0,0.0,0.0
S007,0.9040048855616878,1.0453884158149394,0.9758242424058474,1.0671363379845509,0.8967104952001976,0.7947189834489605,0.7777197378731906,0.8169695500577854,0.7415559285915323,0.7760542661000327,1.9660708142906287,0.7115225847423989,0.7733641796799692,0.8468405102995895,0.7064161220043572,0.7924325130207482,0.9260542661000326,0.7604080015844721,0.9115225847423989,0.8294472181771952,0.9705398673580797,0.7981959990473921,0.8520724158882054,2.092246814521684
S008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.1,0.2,0.0,0.0,0.1,0.2,0.12692307692307692,0.0,0.0,0.0,0.125,0.3,0.08,0.08
S009,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.3,0.5,0.1,0.3,0.2,0.0,0.225,0.2,0.1,0.0,0.0,0.0,0.0,0.0
S010,0.22000000000000003,0.0,0.18803418803418803,0.275,0.05,0.0,0.0,0.0,0.1,0.3519230769230769,0.3,0.31666666666666665,0.2,0.2,0.2,0.06666666666666667,0.2,0.1,0.0,0.0,0.1,0.16666666666666666,0.23193277310924368,0.275
S011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5464646464646465,0.31666666666666665,0.15416666666666665,0.0,0.41666666666666663,0.25,0.45,0.06666666666666667,0.3,0.0,0.1,0.4,0.0,0.0
S012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.11666666666666665,0.21333333333333332,0.2,0.0,0.08333333333333334,0.15,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0
S013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.35,0.16666666666666666,0.0,0.1,0.08333333333333334,0.1,0.06666666666666667,0.05,0.1,0.0,0.1,0.0,0.0,0.05
S014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.06666666666666667,0.06666666666666667,0.1,0.16666666666666666,0.1,0.2,0.13333333333333333,0.1,0.0,0.2,0.0,0.0,0.0
S015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24166666666666664,0.075,0.15,0.0,0.0,0.1,0.2,0.0,0.05,0.0,0.1,0.1,0.15,0.0,0.06666666666666667
S016,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.06666666666666667,0.1,0.18571428571428572,0.1,0.24666666666666667,0.2,0.1,0.0,0.0,0.0,0.0,0.0
S017,0.2333333333333333,0.0,0.15416666666666665,0.25555555555555554,0.0,0.0,0.0,0.0,0.1,0.2688888888888889,0.06666666666666667,0.27999999999999997,0.0,0.1,0.3,0.125,0.1,0.0,0.0,0.0,0.0,0.07692307692307693,0.155,0.25
S018,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.18571428571428572,0.45,0.16428571428571428,0.21666666666666665,0.1833333333333333,0.2,0.4,0.55,0.05,0.0,0.2,0.15,0.0,0.0
S019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05555555555555556,0.16428571428571428,0.16666666666666669,0.0,0.08571428571428572,0.11666666666666665,0.35,0.05,0.0,0.0,0.0,0.0,0.0,0.0
S020,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.21666666666666665,0.32,0.4,0.5142857142857142,0.2333333333333333,0.21000000000000002,0.1,0.6,0.45,0.1,0.0,0.1,0.25,0.0,0.0
S021,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.14166666666666666,0.275,0.36666666666666664,0.3466666666666667,0.21666666666666665,0.41666666666666663,0.15,0.425,0.3,0.35,0.1,0.2,0.3,0.0,0.0
S022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555556,0.4032051282051282,0.05263157894736842,0.05,0.0,0.0,0.1,0.1967741935483871,0.18333333333333335,0.05,0.0,0.06666666666666667,0.05,0.06666666666666667,0.0,0.2
S023,0.9883333333333333,0.0,1.036547619047619,0.0,0.7858333333333334,0.0,0.85,0.0,9.413333333333334,0.27797202797202797,8.729435685192485,0.19375,20.921568627450977,0.1769230769230769,35.88665011459129,0.16233766233766234,0.9994505494505495,0.28154761904761905,18.163762507817385,0.15,12.37404761904762,0.1,36.27708333333333,0.0
S024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.18571428571428572,0.3666666666666667,0.2833333333333333,0.2625,0.5,1.751923076923077,0.4833333333333334,0.45,0.275,0.1,0.45,0.18,0.11666666666666665,0.2333333333333333,0.0
S025,0.7216666666666667,0.1,0.835,0.1,0.7899999999999999,0.1,0.6466666666666667,0.0,0.6516666666666666,0.2333333333333333,0.6573809523809524,0.325,0.7266666666666667,0.2,0.655,0.1375,0.9333333333333333,0.15,0.7666666666666667,0.1,0.7933333333333333,0.0,0.6366666666666667,0.2
S026,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.075,0.1,0.11666666666666665,0.05,0.13,0.1,0.1,0.0,0.0,0.0,0.0,0.0
S027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4107142857142857,0.45499999999999996,0.2125,0.21666666666666665,0.43,0.075,0.32999999999999996,0.1,0.0,0.0,0.0,0.2,0.0,0.0
S028,0.9952741702741703,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S029,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.15,0.275,0.18333333333333332,0.425,0.13333333333333333,0.2,0.3,0.5133333333333333,0.41666666666666663,0.1,0.1,0.1,0.0,0.0,0.0
S030,0.125,0.0,0.15714285714285714,0.255,0.1,0.0,0.0,0.2,0.0,0.26571428571428574,0.11666666666666665,0.06666666666666667,0.0,0.05,0.2,0.06666666666666667,0.0,0.05,0.0,0.0,0.0,0.10882352941176472,0.12692307692307692,0.275
S031,0.9778134294387713,0.9613641590984857,1.0997466667577724,0.9944831188321102,0.9861278573388009,0.985939531717492,0.9799261666931791,1.0008479076338994,0.9703089086456904,0.9740877165394025,0.9726330498177065,0.9699897713950086,0.9886808031878825,0.976493850141701,0.9932973910174029,0.9876561391413246,0.9962343150600119,0.968045172142715,0.9738554932184224,1.0030127650007048,0.9546182409375149,0.9955031132419128,0.9719229550797348,0.9721089139937449
S032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11666666666666665,0.08571428571428572,0.58,0.2625,0.2333333333333333,0.38,0.2,0.39166666666666666,0.26666666666666666,0.1,0.1,0.0,0.1,0.0,0.0
S033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.1,0.2,0.125,0.05,0.3,0.1,0.27999999999999997,0.16666666666666666,0.05,0.0,0.0,0.1,0.0,0.0
S034,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.15,20.21666666666667,0.16666666666666666,0.0,0.0,0.0,0.2,0.1,0.2,0.0,0.2,0.1,0.0,0.0,0.0
S035,0.0,0.4,0.9175252525252524,0.2,0.0,0.1,0.2,0.0,0.3,0.2,0.1,0.3,0.0,0.5,0.3,0.4,0.7,0.3,0.1,0.1,0.4,0.1,0.3,2.4
S036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.4833333333333333,0.29722222222222217,0.05,0.5766666666666667,0.40499999999999997,0.4583333333333333,0.38666666666666666,0.3083333333333333,0.2,0.15,0.0,0.2,0.05,0.0
S037,0.2,0.1,0.0,0.1,0.0,0.0,0.16666666666666666,0.25,0.4666666666666666,0.8730248355109899,0.8603404350495071,0.826862628617015,200.7708963585434,0.9462958953439667,25.50568475265687,0.8776196766841837,0.9743463221928084,0.9423867585829105,0.8335813238598113,0.7728330928330929,0.8761378490790255,0.725,0.8833333333333334,0.35
S038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3333333333333333,0.15,0.0,0.0,0.25,0.2,0.475,0.05,0.1,0.0,0.0,0.0,0.0,0.0
S039,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.18666666666666668,0.6523809523809523,0.3583333333333333,0.24166666666666664,0.5911111111111111,0.32028985507246377,0.2930232558139535,0.25833333333333336,0.25,20.0,0.1,0.298159509202454,0.07692307692307693,0.0,0.0
S040,0.9889002978094281,0.9999064239402955,0.9727467806836476,0.9898480087514328,1.0038649779367026,0.9782195107856525,1.3199679946420693,0.9919960761225124,1.2121854579734033,1.2178106910225928,0.9926200784082152,0.9523329779805824,0.9860319402558024,0.9703463416776745,0.9551865419751284,0.9572248492634594,0.9533153385122983,0.9675313687216006,0.9672827216972554,0.940137809094975,0.9396646225523433,0.9604939193587025,1.2283298111660839,0.9726154055963839
S041,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.20833333333333334,0.13,0.36666666666666664,0.18095238095238092,0.16666666666666666,0.3083333333333333,0.1,0.39166666666666666,0.4833333333333333,0.0,0.05,0.0,0.05,0.0,0.0
S042,0.275,0.0,0.1625,0.35,0.1,0.0,0.0,0.0,0.0,0.4833333333333334,0.125,0.18,0.0,0.0,0.16666666666666666,0.1,0.0,0.0,0.0,0.0,0.0,0.1625,0.13333333333333336,0.29166666666666663
S043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.225,0.08,0.05,0.13333333333333333,0.0,0.4,0.175,0.05,0.0,0.3,0.0,0.0,0.0
S044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.06666666666666667,0.16666666666666666,0.21666666666666665,0.0,0.0,0.0,0.06666666666666667,0.2,0.0,0.0,0.06666666666666667,0.1,0.06666666666666667,0.1,0.1
S045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.55,0.4,0.0,0.0,0.2,0.18571428571428572,0.26666666666666666,0.0,0.0,0.1,0.0,0.0,0.0,0.0
S046,0.31666666666666665,0.3833333333333333,1.0,0.75,0.75,0.6499999999999999,0.7,0.7,0.45,0.8,0.8,0.3,0.9666666666666668,0.45,0.9,0.2,0.6166666666666666,0.9833333333333334,0.3333333333333333,0.75,0.6166666666666667,0.8,0.4666666666666666,0.6
