ID,材料分类,排名,周最大供货量,满足率
S229,A,2,1478.695833,0.98611223
S282,A,6,705.5833333,1.004800304
S352,A,9,370.9625,0.996987682
S275,A,10,660.6375,1.002548214
S329,A,11,652.1583333,1.001074512
S143,A,20,344.9458333,0.875404462
S266,A,24,27.1625,1.159964413
S123,A,31,26.87083333,1.055482815
S007,A,33,28.95,1.034544372
S307,A,37,325.8166667,0.766755244
S005,A,41,28.8,1.057204038
S189,A,42,37.05,1.022421525
S273,A,43,39.51666667,0.882396725
S114,A,44,45.54583333,0.749571419
S292,A,45,38.16666667,0.828060025
S078,A,47,35.6375,0.843740752
S291,A,48,33.26666667,0.592900639
S154,A,49,31.80833333,0.746674491
S221,A,50,1.633333333,1.328813559
S395,A,52,316.0125,0.719327364
S178,A,55,0.679166667,1.336065574
S030,A,64,0.675,1.285714286
S237,A,65,1.366666667,1.296442688
S053,A,71,0.320833333,1.283333333
S106,A,75,0.320833333,1.262295082
S075,A,80,1.625,1.185410334
S026,A,85,0.116666667,1.217391304
S318,A,86,1.441666667,1.157190635
S152,A,87,1.658333333,1.102493075
S336,A,91,0.6,1.125
S254,A,104,0.670833333,1.052287582
S128,A,105,0.554166667,1.055555556
S208,A,109,36.4875,0.588191832
S122,A,112,0.304166667,1.057971014
S203,A,113,0.15,1.058823529
S348,A,119,385.0875,0.553058184
S381,A,121,0.8375,0.975728155
S062,A,123,0.3125,0.986842105
S337,A,124,0.15,1
S027,A,127,0.3375,0.975903614
S016,A,128,0.154166667,0.973684211
S065,A,132,0.7875,0.875
S150,A,133,7.525,0.329081633
S002,A,134,1.1375,0.883495146
S296,A,135,0.258333333,0.925373134
S159,A,136,0.895833333,0.849802372
S116,A,138,0.3125,0.862068966
S046,A,139,0.820833333,0.887387387
S014,A,141,0.116666667,0.875
S052,A,148,0.225,0.857142857
S132,A,149,0.2625,0.84
S226,A,152,0.833333333,0.803212851
S332,A,155,1.270833333,0.794270833
S300,A,156,1.245833333,0.776623377
S217,A,159,0.579166667,0.720207254
S121,A,162,0.570833333,0.744565217
S255,A,164,0.15,0.75
S087,A,165,0.266666667,0.744186047
S017,A,169,0.575,0.711340206
S015,A,171,0.116666667,0.001004196
S049,A,173,0.158333333,0.716981132
S204,A,176,0.3375,0.680672269
S035,A,178,0.6,0.637168142
S196,A,179,0.166666667,0.677966102
S288,A,182,0.125,0.652173913
S071,A,186,0.795833333,0.582317073
S167,A,187,0.566666667,0.604444444
S209,A,189,0.679166667,0.592727273
S227,A,190,1.058333333,0.582568807
S363,A,194,0.233333333,0.583333333
S082,A,196,0.241666667,0.58
S089,A,197,0.5875,0.552941176
S091,A,198,0.304166667,0.579365079
S312,A,199,0.320833333,0.578947368
S115,A,200,1.658333333,0.503160556
S281,A,204,0.15,0.52173913
S157,A,207,1.645833333,0.011867564
S056,A,208,0.116666667,0.509090909
S243,A,209,0.2625,0.484615385
S042,A,215,0.575,0.456953642
S187,A,216,0.308333333,0.4625
S022,A,219,0.583333333,0.445859873
S144,A,221,0.116666667,0.444444444
S066,A,222,1.616666667,0.412327311
S304,A,224,0.65,0.456140351
S274,A,227,0.320833333,0.430167598
S170,A,229,0.5625,0.399408284
S038,A,234,0.15,0.382978723
S127,A,236,0.658333333,0.325102881
S163,A,238,1.05,0.309202454
S104,A,241,0.645833333,0.333333333
S119,A,245,0.120833333,0.329545455
S064,A,246,1.654166667,0.031737149
S097,A,249,0.2625,0.003967254
S265,A,256,0.5875,0.243944637
S109,A,257,0.15,0.276923077
S072,A,259,0.116666667,0.266666667
S269,A,266,0.879166667,0.251789976
S283,A,267,0.125,0.23255814
S021,A,268,0.333333333,0.24691358
S102,A,276,0.545833333,0.211631664
S394,A,281,0.6,0.167832168
S205,A,284,0.25,0.173410405
S158,A,285,0.154166667,0.003643525
S130,A,287,0.25,0.175953079
S211,A,288,0.241666667,0.181818182
S370,A,291,0.241666667,0.157181572
S278,A,297,0.258333333,0.143851508
S242,A,299,0.329166667,0.131229236
S184,A,300,0.304166667,0.124361158
S198,A,306,0.225,0.116129032
S185,A,308,0.266666667,0.128514056
S156,A,311,0.116666667,0.108108108
S293,A,312,0.8,0.14339059
S219,A,314,0.15,0.10619469
S043,A,315,0.1625,0.111747851
S155,A,317,0.166666667,0.096618357
S012,A,318,0.120833333,0.094155844
S165,A,321,0.3125,0.113464448
S317,A,324,0.120833333,0.093247588
S096,A,327,0.304166667,0.003987764
S101,A,328,0.233333333,0.070886076
S145,A,335,0.2625,0.024676851
S251,A,339,0.15,0.017249641
S051,A,340,0.120833333,0.00915404
S181,A,345,0.15,0.062068966
S372,A,352,0.120833333,0.036386449
S099,A,355,0.25,0.042462845
S341,A,357,0.2625,0.043871866
S289,A,358,0.166666667,0.033500838
S093,A,361,0.15,0.029654036
S323,A,369,0.120833333,0.021029732
S309,A,370,0.154166667,0.032541777
S083,A,371,0.116666667,0.012727273
S250,A,372,0.145833333,0.053435115
S148,A,374,0.245833333,0.057392996
S299,A,385,0.258333333,0.054964539
