供应商ID,W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W011,W012,W013,W014,W015,W016,W017,W018,W019,W020,W021,W022,W023,W024
S001,,,,,,,,,,,,,,,,,,,,,,,,
S002,,,,,,,,,,,,,,,,,,,,,,,,
S003,,,,,,,,,,,,,,,,,,,,,,,,
S004,,,,,,,,,,,,,,,,,,,,,,,,
S005,,,,,,,,,,,,,,,,,,,,,,,,
S006,,,,,,,,,,,,,,,,,,,,,,,,
S007,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334,27.983333333333334
S008,,,,,,,,,,,,,,,,,,,,,,,,
S009,,,,,,,,,,,,,,,,,,,,,,,,
S010,,,,,,,,,,,,,,,,,,,,,,,,
S011,,,,,,,,,,,,,,,,,,,,,,,,
S012,,,,,,,,,,,,,,,,,,,,,,,,
S013,,,,,,,,,,,,,,,,,,,,,,,,
S014,,,,,,,,,,,,,,,,,,,,,,,,
S015,,,,,,,,,,,,,,,,,,,,,,,,
S016,,,,,,,,,,,,,,,,,,,,,,,,
S017,,,,,,,,,,,,,,,,,,,,,,,,
S018,,,,,,,,,,,,,,,,,,,,,,,,
S019,,,,,,,,,,,,,,,,,,,,,,,,
S020,,,,,,,,,,,,,,,,,,,,,,,,
S021,,,,,,,,,,,,,,,,,,,,,,,,
S022,,,,,,,,,,,,,,,,,,,,,,,,
S023,,,,,,,,,,,,,,,,,,,,,,,,
S024,,,,,,,,,,,,,,,,,,,,,,,,
S025,,,,,,,,,,,,,,,,,,,,,,,,
S026,,,,,,,,,,,,,,,,,,,,,,,,
S027,,,,,,,,,,,,,,,,,,,,,,,,
S028,,,,,,,,,,,,,,,,,,,,,,,,
S029,,,,,,,,,,,,,,,,,,,,,,,,
S030,,,,,,,,,,,,,,,,,,,,,,,,
S031,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975,168.975
S032,,,,,,,,,,,,,,,,,,,,,,,,
