budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
16000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",http://thewomen.warnerbros.com/index.html,13972,"[{""id"": 9749, ""name"": ""beauty salon""}, {""id"": 15160, ""name"": ""divorce""}, {""id"": 187056, ""name"": ""woman director""}]",en,The Women,"The story centers on a group of gossipy, high-society women who spend their days at the beauty salon and haunting fashion shows. The sweet, happily-wedded Mary Haines finds her marriage in trouble when shop girl Crystal Allen gets her hooks into Mary's man.",8.8321,"[{""name"": ""New Line Cinema"", ""id"": 12}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008/9/12,50007546,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,The Women,,
15000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,5038,"[{""id"": 107, ""name"": ""barcelona spain""}, {""id"": 3190, ""name"": ""menage a trois""}, {""id"": 10818, ""name"": ""author""}]",en,Vicky Cristina Barcelona,"Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",32.758254,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Gravier Productions"", ""id"": 1824}, {""name"": ""Antena 3 Films"", ""id"": 6538}, {""name"": ""Televisi\u00f3 de Catalunya (TV3)"", ""id"": 8530}, {""name"": ""Antena 3 Televisi\u00f3n"", ""id"": 11737}, {""name"": ""Mediapro"", ""id"": 12010}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""ES"", ""name"": ""Spain""}]",2008/8/15,96408652,96,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Life is the ultimate work of art,Vicky Cristina Barcelona,,
25000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,13491,"[{""id"": 156321, ""name"": ""tv movie""}]",sv,Arn: Tempelriddaren,"Arn, the son of a high-ranking Swedish nobleman is educated in a monastery and sent to the Holy Land as a knight templar to do penance for a forbidden love.",6.091033,"[{""name"": ""Danmarks Radio (DR)"", ""id"": 119}, {""name"": ""Telepool"", ""id"": 823}, {""name"": ""AMC Pictures"", ""id"": 2800}, {""name"": ""TV4 Sweden"", ""id"": 2802}, {""name"": ""SF Norge"", ""id"": 2888}, {""name"": ""Molinare Studios"", ""id"": 4250}, {""name"": ""Yleisradio (YLE)"", ""id"": 5975}, {""name"": ""Svensk Filmindustri (SF)"", ""id"": 6181}, {""name"": ""Juonifilmi"", ""id"": 9375}, {""name"": ""TV2 Norge"", ""id"": 11682}, {""name"": ""Film i V\u00e4st"", ""id"": 17513}, {""name"": ""Soundchef Studios"", ""id"": 18843}, {""name"": ""Arion Communications Ltd."", ""id"": 22675}, {""name"": ""Dagsljus Filmequipment"", ""id"": 22676}, {""name"": ""Sheba Films"", ""id"": 24991}, {""name"": ""Sandline Production"", ""id"": 24992}, {""name"": ""Europa Film Sound Production"", ""id"": 24993}]","[{""iso_3166_1"": ""SE"", ""name"": ""Sweden""}]",2007/12/17,0,139,"[{""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""sv"", ""name"": ""svenska""}]",Released,A Knight in the Holy Land. A Woman in the Frozen North. A War that Kept Them Apart.,Arn: The Knight Templar,,
16000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,10571,"[{""id"": 815, ""name"": ""soulmates""}, {""id"": 1605, ""name"": ""new love""}, {""id"": 3200, ""name"": ""platonic love""}, {""id"": 4663, ""name"": ""lovers""}, {""id"": 5490, ""name"": ""girlfriend""}, {""id"": 5785, ""name"": ""model student""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 6170, ""name"": ""motherly love""}, {""id"": 6707, ""name"": ""student movie""}, {""id"": 12105, ""name"": ""student""}, {""id"": 13160, ""name"": ""university""}, {""id"": 14534, ""name"": ""relationship""}]",en,Boys and Girls,"Ryan and Jennifer are opposites who definitely do not attract. At least that's what they always believed. When they met as twelve-year-olds, they disliked one another. When they met again as teenagers, they loathed each other. But when they meet in college, the uptight Ryan and the free-spirited Jennifer find that their differences bind them together and a rare friendship develops.",9.119797,"[{""name"": ""Punch 21 Productions"", ""id"": 13158}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000/6/16,20627372,94,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Warning: Sex Changes Everything,Boys and Girls,,
0,"[{""id"": 18, ""name"": ""Drama""}]",,10994,"[{""id"": 351, ""name"": ""poison""}, {""id"": 378, ""name"": ""prison""}, {""id"": 1465, ""name"": ""loss of family""}, {""id"": 1872, ""name"": ""loss of father""}, {""id"": 2468, ""name"": ""foster parents""}, {""id"": 5424, ""name"": ""women's prison""}, {""id"": 10235, ""name"": ""family relationships""}, {""id"": 208795, ""name"": ""bad mother""}, {""id"": 237901, ""name"": ""children's services""}]",en,White Oleander,A teenager journeys through a series of foster homes after her mother goes to prison for committing a crime of passion.,9.423866,"[{""name"": ""Pandora Filmproduktion"", ""id"": 254}, {""name"": ""John Wells Productions"", ""id"": 1512}, {""name"": ""Gaylord Films"", ""id"": 5367}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Oleandor Productions"", ""id"": 12426}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002/10/11,0,109,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,White Oleander,,
15000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",,11495,"[{""id"": 657, ""name"": ""fire""}, {""id"": 1475, ""name"": ""telepathy""}, {""id"": 2051, ""name"": ""intelligence""}, {""id"": 3616, ""name"": ""college""}]",en,Firestarter,"As youths, Andy McGee (David Keith) and his future wife, Vicky (Heather Locklear), participated in secret experiments, allowing themselves to be subjected to mysterious medical tests. Years later, the couple's daughter, Charlie (Drew Barrymore), begins to exhibit the ability of setting fires solely with her mind. This volatile talent makes the youngster extremely dangerous and soon she becomes a target for the enigmatic agency known as ""The Shop.""",11.379652,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Dino De Laurentiis Company"", ""id"": 10308}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1984/5/11,17080167,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,Will she have the power... to survive?,Firestarter,,
15000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",http://killingthemsoftlymovie.com/,64689,"[{""id"": 383, ""name"": ""poker""}, {""id"": 395, ""name"": ""gambling""}, {""id"": 642, ""name"": ""robbery""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 2708, ""name"": ""hitman""}, {""id"": 3681, ""name"": ""economy""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 11221, ""name"": ""blood""}, {""id"": 11503, ""name"": ""hit""}, {""id"": 11578, ""name"": ""mobster""}, {""id"": 13142, ""name"": ""gangster""}, {""id"": 15009, ""name"": ""criminal""}]",en,Killing Them Softly,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",24.612603,"[{""name"": ""Plan B Entertainment"", ""id"": 81}, {""name"": ""1984 Private Defense Contractors"", ""id"": 8532}, {""name"": ""Annapurna Pictures"", ""id"": 13184}, {""name"": ""Inferno Entertainment"", ""id"": 13648}, {""name"": ""Chockstone Pictures"", ""id"": 13649}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012/9/20,37930465,97,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,In America you're on your own.,Killing Them Softly,,
15000000,"[{""id"": 53, ""name"": ""Thriller""}]",,157849,"[{""id"": 321, ""name"": ""terror""}, {""id"": 789, ""name"": ""muslim""}, {""id"": 2051, ""name"": ""intelligence""}, {""id"": 2356, ""name"": ""immigrant""}, {""id"": 13006, ""name"": ""torture""}, {""id"": 18420, ""name"": ""surveillance""}, {""id"": 159457, ""name"": ""security""}]",en,A Most Wanted Man,"When a half-Chechen, half-Russian, tortured half-to-death immigrant turns up in Hamburg's Islamic community, laying claim to his father's ill gotten fortune, both German and US security agencies take a close interest: as the clock ticks down and the stakes rise, the race is on to establish this most wanted man's true identity - oppressed victim or destruction-bent extremist?",26.708193,"[{""name"": ""Senator Film Produktion"", ""id"": 191}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""FilmNation Entertainment"", ""id"": 7493}, {""name"": ""Film4"", ""id"": 9349}, {""name"": ""Demarest Films"", ""id"": 13241}, {""name"": ""The Ink Factory"", ""id"": 28275}, {""name"": ""Potboiler Productions"", ""id"": 36615}, {""name"": ""Amusement Park Films"", ""id"": 36616}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",2014/7/25,31554855,121,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,A Most Wanted Man,,
0,"[{""id"": 35, ""name"": ""Comedy""}]",,13166,"[{""id"": 2564, ""name"": ""wheelchair""}, {""id"": 8631, ""name"": ""slacker""}, {""id"": 9956, ""name"": ""sausage""}]",en,Freddy Got Fingered,"An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy.",8.710294,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""MBST/Lloyd Productions"", ""id"": 51708}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001/4/18,0,87,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A touching story of a young man who desperately wants to make his daddy proud.,Freddy Got Fingered,,
0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]",,15511,"[{""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 1562, ""name"": ""hostage""}, {""id"": 6401, ""name"": ""vegetable""}, {""id"": 10103, ""name"": ""children""}, {""id"": 12988, ""name"": ""pirate""}, {""id"": 13084, ""name"": ""king""}, {""id"": 40950, ""name"": ""waiter""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,VeggieTales: The Pirates Who Don't Do Anything,"Set Sail For Adventure! A boatload of beloved VeggieTales pals embark on a fun and fresh pirate adventure with their trademark humor and silly songs in The Pirates Who Don't Do Anything - A VeggieTales Movie! Larry the Cucumber, Mr. Lunt and Pa Grape find themselves on the ride of their lives when they are mysteriously whisked back to the time when pirates ruled the high seas.",1.800119,"[{""name"": ""Starz Animation"", ""id"": 2885}, {""name"": ""Big Idea Productions"", ""id"": 3204}, {""name"": ""Arc Productions"", ""id"": 10280}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008/1/11,0,85,[],Released,,VeggieTales: The Pirates Who Don't Do Anything,,
