budget,genres,keywords,popularity,release_date,revenue,runtime,title,vote_average,vote_count,cast,crew,adapted
237000000,"Action,Adventure,Fantasy,Science Fiction","culture clash,future,space war,space colony,society,space travel,futuristic,romance,space,alien,tribe,alien planet,cgi,marine,soldier,battle,love affair,anti war,power relations,mind and soul,3d",150.437577,2009/12/10,2787965087,162.0,Avatar,7.2,11800,"Jake Sully,Neytiri,Dr. Grace Augustine,Col. Quaritch,Trudy Chacon,Selfridge,Norm Spellman,Moat,Eytukan,Tsu'Tey,Dr. Max Patel,Lyle Wainfleet,Private Fike,Cryo Vault Med Tech,Venture Star Crew Chief,Lock Up Trooper,Shuttle Pilot,Shuttle Co-Pilot,Shuttle Crew Chief,Tractor Operator / Troupe,Dragon Gunship Pilot,Dragon Gunship Gunner,Dragon Gunship Navigator,Suit #1,Suit #2,Ambient Room Tech,Ambient Room Tech / Troupe,Horse Clan Leader,Link Room Tech,Basketball Avatar / Troupe,Basketball Avatar,Na'vi Child,Troupe,Troupe,Troupe,Troupe,Troupe,Troupe,Troupe,Troupe,Troupe,Troupe,Troupe,Troupe,Op Center Staff,Op Center Staff,Op Center Staff,Op Center Staff,Op Center Staff,Op Center Duty Officer,Op Center Staff,Dancer,Dancer,Dancer,Dancer,Dancer,Dancer,Dancer,Dancer,Dancer,Mining Chief (uncredited),Veteran Miner (uncredited),Richard (uncredited),Nav'i (uncredited),Trooper (uncredited),Trooper (uncredited),Ground Technician (uncredited),Flight Crew Mechanic (uncredited),Samson Pilot,Trooper (uncredited),Banshee (uncredited),Soldier (uncredited),Blast Technician (uncredited),Vindum Raah (uncredited),Hero (uncredited),Ops Centreworker (uncredited),Engineer (uncredited),Col. Quaritch's Mech Suit (uncredited),Female Marine (uncredited),Ikran Clan Leader (uncredited),Geologist (uncredited),Na'vi (uncredited),Ambient Room Tech / Troupe",James Cameron,0
300000000,"Adventure,Fantasy,Action","ocean,drug abuse,exotic island,east india trading company,love of one's life,traitor,shipwreck,strong woman,ship,alliance,calypso,afterlife,fighter,pirate,swashbuckler,aftercreditsstinger",139.082615,2007/5/19,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,"Captain Jack Sparrow,Will Turner,Elizabeth Swann,William ""Bootstrap Bill"" Turner,Captain Sao Feng,Captain Davy Jones,Captain Hector Barbossa,Admiral James Norrington,Joshamee Gibbs,Lord Cutler Beckett,Tia Dalma,Governor Weatherby Swann,Captain Teague Sparrow,Pintel,Ragetti,Lieutenant Theodore Groves,Cotton,Marty,Ian Mercer,Scarlett,Giselle,Mullroy,Murtogg,Tai Huang,Henry Turner,Mistress Ching,Lieutenant Greitzer,Hadras,Clacker,Penrod,Cotton's Parrot (voice),Captain Teague,Captain Jocard,Captain Ammand",Gore Verbinski,0
245000000,"Action,Adventure,Crime","spy,based on novel,secret agent,sequel,mi6,british secret service,united kingdom",107.376788,2015/10/26,880674609,148.0,Spectre,6.3,4466,"James Bond,Blofeld,Madeleine,M,Lucia,Q,Moneypenny,Hinx,C,Tanner,Mr. White,Marco Sciarra,Estrella,Mexican Man in Lift,Mexican Woman in Lift,Gallo,Gallo's Accomplice,Gallo's Accomplice,Q's Assistant,Moneypenny's Boyfriend,Blofeld's London Helicopter Pilot,SC019 Police Commander,SC019 Police Officer,Priest,Moreau,Vogel,Abrika,Blofeld's Right Hand Man,Lorenzo,Francesco,Marco,Palazzo Security,Guerra,Businessman,Businessman,Businessman,Businessman,Marshall,Valerian,Fiat Driver,Street Sweeper,Chairman,Head of Nation,Head of Nation,Head of Nation,Head of Nation,Head of Nation,Head of Nation,Head of Nation,Head of Nation,Aide,Aide,Clinic Barman,Clinic Security Guard,Clinic Security Guard,Cable Car Heavy,Cable Car Heavy,Syringe Heavy,Snowboarder,Snowboarder,Snowboarder,Snowboarder,Snowboarder,Snowboarder,Snowboarder,Snowboarder,L'Americain Manater,Train Guard,Train Waiter,Train Barman,Blofeld's Chauffeur,Blofeld's Guard,Blofeld's Guard,Blofeld's Butler,Blofeld's Waiter,Blofeld's Analyst,Blofeld's Chief Analyst,M (uncredited),Clinic Patron (uncredited),Businessman (uncredited),Lair Staff (uncredited),Mexican Sprite (uncredited),Pilot David",Sam Mendes,1
250000000,"Action,Crime,Drama,Thriller","dc comics,crime fighter,terrorist,secret identity,burglar,hostage drama,time bomb,gotham city,vigilante,cover-up,superhero,villainess,tragic hero,terrorism,destruction,catwoman,cat burglar,imax,flood,criminal underworld,batman",112.31295,2012/7/16,1084939099,165.0,The Dark Knight Rises,7.6,9106,"Bruce Wayne / Batman,Alfred Pennyworth,James Gordon,Selina Kyle / Catwoman,Bane,Miranda Tate,Blake,Lucius Fox,Dr. Jonathan Crane / Scarecrow,Jen,Ra's Al Ghul,Deputy Commissioner Foley,Dr. Pavel,Daggett,The Mayor,Young Ra's Al Ghul,Prisoner,Young Talia Al Ghul,Mercenary Security #1,Captain Jones,Special Ops Sergeant,Hooded Man #2,Caterer,Maid,Maid,CIA Op,Stryver,Congressman,Ross,DWP Man,Fr. Reilly,SWAT in Dive Bar,SWAT in Alley,Cop in Manhole,Sewer Thug #1,Sewer Thug #2,Mark,Doctor,Yuppie,Allen,Exchange Security Chief,Female Security Guard,Paparazzi #1,Paparazzi #2,Rich Twit,Officer Simon Jansen,Shoe Shine Man at GSE,Trader #1,Trader #3,Valet at Museum,Veteran Cop,Fredericks,2 Star Air Force General,Airport Cop,Analyst #1,Analyst #2,Army Captain at Bridge,Cement Truck Driver,CIA Analyst,Cop with Gordon,Blind Prisoner,Ex-Prisoner at River,Gangbanger,Huge Inmate,Kid with Apple,Barsad,President,Skinny Prisoner,Special Forces #2,Mercenary at City Hall,Uniform,Bomb Truck Driver,Wayne's Lawyer,Applied Sciences Tech #1,Applied Sciences Tech #2,Lawyer's Clerk,Greeter at Museum,Valet at Wayne Enterprises,Warden at Blackgate,Waiter in Florence Café,Janitor at GSE,Mercenary Security #4,Board Member #2,Uniform #2,Gotham City Police Officer (uncredited),Young Stock Broker (uncredited),Gotham City Police Officer (uncredited),Former Upscaler (uncredited),Angry Mobster / Prisoner (uncredited),Gotham Rogues Fan (uncredited),Mercenary (uncredited),Police Officer (uncredited),Gotham City Police Officer (uncredited),Gotham Rogues Coach (uncredited),Pentagon Navy Petty (uncredited),Reporter (uncredited),Older Upscale Person (uncredited),Prisoner / Thug (uncredited),Stock Broker (uncredited),Thug (uncredited),Stockbroker in Snipers Scoop - Stock Exchange (uncredited),Prisoner (uncredited),Police Officer (uncredited),Gotham Police Officer / Fan (uncredited),Gordon's Cop #4 (uncredited),Boom Operator News Crew (uncredited),Gothamite (uncredited),Gotham Rogues Fan (uncredited),Stock Broker (uncredited),Thug (uncredited),Wall Street Broker (uncredited),Gotham City Police Officer (uncredited),Thug (uncredited),Gotham City Police Officer (uncredited),Prisoner (uncredited),Tourist (uncredited),Gotham Rogues Fan (uncredited),Gotham Rogues Fan (uncredited),Gotham City Police Officer (uncredited),Gotham Rogues Fan (uncredited),Angry Mobster (uncredited),Wayne Enterprises Security (uncredited),Mercenary (uncredited),Gotham City Police Officer (uncredited),Prisoner / Thug (uncredited),Gotham City News Cameraman (uncredited),Prison Guard (uncredited),Prisoner / Mob (uncredited),Gotham Stock Trader (uncredited),Gotham Rogues Player (uncredited),Gotham Police Officer (uncredited),Thug (uncredited),Doris in Black (uncredited),Gotham Rogues Player (uncredited),Gotham Police Officer (uncredited),Thug (uncredited),Angry Thug (uncredited),Hot Football Fan (uncredited),Gotham Rogues Owner (uncredited),Thug (uncredited),Prisoner (voice) (uncredited),Gotham City Press (uncredited),Gotham Rogues Fan (uncredited),Gotham City Police Officer (uncredited),Mercenary Soldier (uncredited),Gotham Citizen (uncredited),Gotham City Police Officer (uncredited),Thug (uncredited),Gotham City Police Officer (uncredited),Football Fan (uncredited),Cop (uncredited),Football Fan (uncredited),Thug (uncredited),Prisoner (uncredited),Mercenary (uncredited),Court Room Thug (uncredited),Gothamite (uncredited),Thug #2 in Basement",Christopher Nolan,0
260000000,"Action,Adventure,Science Fiction","based on novel,mars,medallion,space travel,princess,alien,steampunk,martian,escape,edgar rice burroughs,alien race,superhuman strength,mars civilization,sword and planet,19th century,3d",43.926995,2012/3/7,284139100,132.0,John Carter,6.1,2124,"John Carter,Dejah Thoris,Sola,Tars Tarkas,Tal Hajus,Matai Shang,Tardos Mors,Sab Than,Kantos Kan,Powell,Sarkoja,Edgar Rice Burroughs,Stayman #1 / Helm,Stayman #3,Lightmaster,Thern #2,Thern #1,Pretty Woman in NYC Doorway,Telegraph Clerk,Dalton,Stable Boy,Dix the Storekeeper,Rowdy #1,Rowdy #2,Stockade Guard,Sarah Carter,Apache #1 (as Joe Billingiere)",Andrew Stanton,1
258000000,"Fantasy,Action,Adventure","dual identity,amnesia,sandstorm,love of one's life,forgiveness,spider,wretch,death of a friend,egomania,sand,narcism,hostility,marvel comic,sequel,superhero,revenge",115.699814,2007/5/1,890871626,139.0,Spider-Man 3,5.9,3576,"Peter Parker / Spider-Man,Mary Jane Watson,Harry Osborn / New Goblin,Flint Marko / Sandman,Eddie Brock / Venom,Gwen Stacey,May Parker,Captain Stacey,J. Jonah Jameson,Mrs. Marko,Dr. Curt Connors,Joseph Robertson,Miss Brant,Hoffman,Penny Marko,Norman Osborn / Green Goblin,Ben Parker,Mr. Ditkovitch,Ursula,Dennis Carradine / Carjacker,Flash Thompson,Man in Times Square,Maître d,Pianist,Driver,John Jameson,Houseman,Mrs. Stacy,Photographer,Anchorman,Jennifer Dugan,Congratulatory Woman at Daily Bugle,Crane Disaster Radio Policeman,Play Director,Play Producer,Jazz Club Manager,Precinct Detective,Emergency Room Doctor,Crane Operator,Woman Outside Theater,Police Detective,New Jersey State Policeman,New Jersey State Policeman,Test Site Technician,Test Site Technician,Test Site Technician,Test Site Technician,Test Site Technician,Test Site Technician,ICU Nurse,Cop at Crane Disaster,Mary Jane's Replacement,Boy at Key to the City Ceremony,Councilwoman,Policeman at Sand Truck,Policeman at Sand Truck,Armored Car Driver,Newstand Patron,Newstand Patron,Newstand Patron,Coffee Shop Waitress,Jazz Club Waitress,Jazz Club Bouncer,Photoshoot Client,Businessman (uncredited),Theater Attendee (uncredited),Pedestrian (uncredited),I.C.U Nurse (uncredited),NYPD Officer (uncredited),Model (uncredited),Bucket Boy (uncredited),News Reporter (uncredited),Photographer (uncredited),Rescued Girl (uncredited),Photographer (uncredited),Jazz Club Waitress (uncredited),Theater Patron (uncredited),Jazz Club Girl (uncredited),Columbia Grad Student (uncredited),New York City Commuter / Driver (uncredited),Girl at Key Ceremony (uncredited),Pedestrian (uncredited),A Spidey Kid (uncredited),A Spidey Kid (uncredited),A Spidey Kid (uncredited),Businessman (uncredited),Automobile Driver (uncredited),Spectator (uncredited),News Spectator (uncredited),Funeral Limo Driver (uncredited),News Reporter (uncredited),Cop (uncredited),Female New Yorker (uncredited),Jazz Club Bouncer (uncredited),Girl at Key Ceremony (uncredited),Student (uncredited),ER Nurse (uncredited),Dog Walker (uncredited),Observer (uncredited),Businesswoman (uncredited),Woman in Court (uncredited),British Publicist (uncredited),Shocked Pedestrian (uncredited),Journalist (uncredited),Girl Screaming in Camaro (uncredited),Kid in Times Square (uncredited),Oscorp Receptionist (uncredited),Girl in Times Square (uncredited),Robbie's Assistant (uncredited),Theatergoer (uncredited),Businessman (uncredited),Beautiful Girl (uncredited),Beautiful Woman (uncredited),Police Officer (uncredited),Beautiful Woman (uncredited),Beautiful Woman (uncredited),Businesswoman (uncredited),Pedestrian (uncredited),Sandman Victim (uncredited),Bad Girl (uncredited),City Hall Cheerer (uncredited),Guy with Ticket (uncredited),Jazz Club Beatnik (uncredited),Jazz Club Guest (uncredited),Café Girl (uncredited),Jazz Club Patron (uncredited),Jazz Club Waitress (uncredited),Firefighter (uncredited),Police Officer (uncredited),Broadway Audience Member (uncredited),Jazz Club Musician (uncredited),Girl in Cab (uncredited),Model (uncredited),Hot Girl (uncredited),Beautiful Woman (uncredited),Bar Patron #5 (uncredited),Model (uncredited),Model (uncredited),Student (uncredited),Restaurant Patron (uncredited),ER Nurse (uncredited),City Hall Cheerer (uncredited),Spectator (uncredited)",Sam Raimi,0
260000000,"Animation,Family","hostage,magic,horse,fairy tale,musical,princess,animation,tower,blonde woman,selfishness,healing power,based on fairy tale,duringcreditsstinger,healing gift,animal sidekick",48.681969,2010/11/24,591794936,100.0,Tangled,7.4,3330,"Flynn Rider (voice),Rapunzel (voice),Mother Gothel (voice),Stabbington Brother (voice),Captain of the Guard (voice),Big Nose Thug (voice),Hook Hand Thug (voice),Short Thug (voice),Vlad (voice),Young Rapunzel / Little Girl (voice),Guard 1 / Thug 1 (voice),Guard 2 / Thug 2 (voice),Guard 3 (voice)","Byron Howard,Nathan Greno",1
280000000,"Action,Adventure,Science Fiction","marvel comic,sequel,superhero,based on comic book,vision,superhero team,duringcreditsstinger,marvel cinematic universe,3d",134.279229,2015/4/22,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,"Tony Stark / Iron Man,Thor Odinson,Bruce Banner / Hulk,Steve Rogers / Captain America,Natasha Romanoff / Black Widow,Clint Barton / Hawkeye,Ultron (voice),Nick Fury,James Rhodes / War Machine,Pietro Maximoff / Quicksilver,Wanda Maximoff / Scarlet Witch,Jarvis (voice) / Vision,Maria Hill,Sam Wilson / The Falcon,Peggy Carter,Heimdall,Laura Barton,Erik Selvig,Dr. Helen Cho,Strucker,Ulysses Klaue / Klaw,Madame B,Himself,Dr. List,Fortress Soldier,Strucker Mercenary,Zrinka,Costel,Sokovian Acid Student,Dr. Cho's Assistant,Dr. Cho's Assistant,Klaue's Mercenary,Ballet Instructor,Johannesburg Cop,Johannesburg Cop,Johannesburg Driver,Johannesburg Onlooker,Johannesburg Onlooker,Johannesburg Onlooker,Johannesburg Onlooker,Johannesburg Onlooker,Johannesburg Onlooker,Johannesburg Onlooker,Johannesburg Elevator Passenger,Johannesburg Elevator Passenger,Cooper Barton,Lila Barton,Lila Barton,World Hub Tech,Korean Train Passenger,Korean Train Passenger,Korean Train Passenger,Korean Train Passenger,Korean Train Passenger,Sokovian Family,Sokovian Family,Sokovian Family,Sokovian Family,Sokovian Woman,Tub Family Child,Sokovian Driver,Sokovian SUV Driver,Sokovian SUV Passenger,Sokovian Police Captain,Specialist Cameron Klein,Friday (voice),Nathaniel Pietro Barton,Sokovian Citizen (uncredited),Thanos (uncredited),Student (uncredited),Dr. Taryl Jenkins (uncredited),Asgardian God (uncredited)",Joss Whedon,1
250000000,"Adventure,Fantasy,Family","witch,magic,broom,school of witchcraft,wizardry,apparition,teenage crush,werewolf",98.885637,2009/7/7,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,"Harry Potter,Ron Weasley,Hermione Granger,Draco Malfoy,Albus Dumbledore,Horace Slughorn,Bellatrix Lestrange,Rubeus Hagrid,Minerva McGonagall,Severus Snape,Peter Pettigrew,Remus Lupin,Molly Weasley,Neville Longbottom,Luna Lovegood,Ginny Weasley,George Weasley,Fred Weasley,Arthur Weasley,Filius Flitwick,Nymphadora Tonks,Cho Chang,Fenrir Greyback,Lily Potter,Narcissa Malfoy,Cormac McLaggen,Argus Filch,Tom Riddle (16 Years),Tom Riddle (11 Years),Poppy Pomfrey,Padma Patil,Parvati Patil,Katie Bell,Seamus Finnigan,Romilda Vane,Gregory Goyle,Vincent Crabbe,Pansy Parkinson,Lavender Brown,Blaise Zabini,Dean Thomas,Marcus Belby,Nigel Wolpert,Eldred Worple,Leanne,Amycus Carrow,Alecto Carrow,Thorfinn Rowle,Waitress",David Yates,0
250000000,"Action,Adventure,Fantasy","dc comics,vigilante,superhero,based on comic book,revenge,super powers,clark kent,bruce wayne,dc extended universe",155.790452,2016/3/23,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,"Bruce Wayne / Batman,Clark Kent / Superman,Diana Prince / Wonder Woman,Lois Lane,Lex Luthor,Martha Kent,Alfred Pennyworth,Perry White,Senator Finch,Wallace Keefe,Anatoli Knyazev,Mercy Graves,Jenet Klyburn,Young Bruce Wayne,Martha Wayne,Jack O'Dwyer,Jimmy Olsen,Wayne Industries Pilot,Drone Pilot,Jenny Jurwich,General Swanwick,Major Carrie Farris,Carmen,Glen Woodburn,Jonathan Kent,Barry Allen / The Flash,POTUS (voice),General Zod,Himself,Himself,Himself,Himself,Himself,Herself,Herself,Herself,Herself,Himself,Herself,A.I. Kelor (voice),Arthur Curry / Aquaman,Silas Stone,Victor Stone / Cyborg,Pete Ross,Lana Lang,Thomas Wayne,General Amajagh,Metropolis Citizen,Metropolis Citizen,Metropolis Citizen,Metropolis Citizen,Metropolis Citizen,Metropolis Citizen,Metropolis Citizen,Metropolis Citizen,Metropolis Citizen,Metropolis Citizen,Teacher,Sage,Island Scientist,General Security Chief,Kahina Ziri,Senator Barrows,Officer Mazzuccheli,Officer Rucka,Hostage Girl,Hostage Girl,Cesar Santos,Himself,Emmet Vale,Metropolis Cop,Metropolis Cop,Hero's Park Tourist,Reporter at Monument,Air Force MP,Underground Fight Patron,Beautiful Woman,Sports Announcer,Sports Announcer,Party Photographer,Party Doorman,LeBlanc,Metropolis Governor,Colorado Woman,Jail Guard,Finch's Receptionist,James Harmon - Museum Director,Bunker Soldier,Bunker Soldier,US Park Officer,Wayne Accountant,Diner Waitress,DC Protestor,DC Protestor,DC Protestor,DC Protestor,Senator Purrington,Convenience Store Robber,Helicopter Pilot,Flight Attendant,Chairman of Joint Chiefs,Vice Chairman of Joint Chiefs,Signals Officer - Air Force,Silo Officer,Silo Officer,Supermax Guard,Prison Barber,Father Leone,Wagon Driver,Creature Vocals (voice),Kreatur (voice),Squatter Boy,CIA Supervisor,Python Team Leader,Gotham Desk Cop,Gotham Desk Cop,Inmate Thug,Inmate Thug,Nairomian Crying Woman,Nairomian Crying Woman,Nairomian Crying Woman,Nairomian Crying Woman,Nairomian Driver,Gala Waiter,Adriana Santos,Older Goat Herder,Older Goat Herder,Young Goat Herder,Rebel Translator,Squatter Mother,Truck,Wayne Financial Employee,Party Guest,Daily Planet Reporter (uncredited),Wayne Enterprise Executive (uncredited),Football Player (uncredited),Gotham Seaport Cop (uncredited),Wayne Security (uncredited),Russian Foreign Minister (uncredited),DC Paramedic (uncredited),Building Supervisor (uncredited),Chilean President (uncredited),First Class Lady (uncredited),Basketball Player (uncredited),Funeral Attender (uncredited),Police Officer (uncredited),GCU Football Player (uncredited),Protester (uncredited),EMT (uncredited),Metropolis Survivor (uncredited),Rusty - Metropolis Cop (uncredited),Protester (uncredited)",Zack Snyder,1
270000000,"Adventure,Fantasy,Action,Science Fiction","saving the world,dc comics,invulnerability,sequel,superhero,based on comic book,kryptonite,super powers,superhuman strength,lex luthor",57.925623,2006/6/28,391081192,154.0,Superman Returns,5.4,1400,"Superman / Clark Kent,Lex Luthor,Lois Lane,Richard White,Kitty Kowalski,Perry White,Jimmy Olsen,Martha Kent,Jor-El,Stanford,Jason White,Brutus,Riley,Grant,Bo the Bartender,Gertrude Vanderworth,Boy with Camera,Little Girl",Bryan Singer,1
