,企业实力,盈利能力,供销关系,经营稳定性,发展潜力
E1,4602660354.58,-2035281673.7100036,0.26307841121006675,0.9548705302096178,-0.15683267273296583
E2,681919091.8200003,519431135.20000064,0.26589578604639785,0.9807979853623987,0.7680897048529551
E3,664249211.8400108,610069859.3200125,0.3128904937856903,0.9696755701408216,-0.20276514572619747
E4,2293706725.7599993,2039122511.1400003,0.25347593582887695,0.9780367548184671,-0.7831690901858703
E5,231617366.60000005,4285387.630000027,0.2156395348837209,0.9424528301886792,-0.1988406265722932
E6,429198297.63000005,108019734.12999903,0.24095839342149675,0.9686311787072244,-0.09176221332086719
E7,585295951.7999996,521804009.7399938,0.2372075252408548,0.9549637992391704,-0.47608681100879874
E8,416560539.4800004,246141845.5400046,0.2335653193238652,0.9660477453580902,-0.1339485208686082
E9,364653306.2800008,338319792.19,0.3906088675182159,0.9559769725702675,-0.04545348083506041
E10,372667065.83999985,367249104.1999999,0.27894031324961194,0.9788732394366197,0.12228033560059827
E11,163081799.71,18869851.630000208,0.36598360655737705,0.9713518352730528,1.5276977361918134
E12,254307636.11,158860623.4099998,0.2733062330623306,0.9649122807017544,-0.3718917159203475
E13,267379505.24,163751002.27000007,0.2680456965976758,0.9692692067457839,-0.10737357154439456
E14,257022331.2299999,131918660.98999944,0.29727272727272724,0.9682254196642686,-0.07765899922377548
E15,224694921.01,219890976.56999996,0.4354838709677419,0.9601990049751243,-0.28346343743205227
E16,230865905.05999997,230573156.6399999,0.22174657534246572,0.9726651480637813,-0.4829420080740702
E17,194183627.77000004,51401608.58000036,0.23361540706156986,0.9748520710059172,0.09936437934843198
E18,214808751.67999998,77055914.47,0.20044755789064017,0.9868766404199475,0.3513933836303173
E19,225697520.03000027,13556962.730000135,0.21986957042000715,0.9764440141981284,-0.3468477676701206
E20,232959184.73999986,28619367.570000045,0.22169811320754715,0.9819819819819819,-0.0015330404922610195
E21,123075251.24000001,-119508.83999994857,0.1040133779264214,0.927694406548431,1.0925785925317832
E22,134662047.59000018,59771871.6500002,0.28703933747412,0.9551856594110115,1.2404890461531661
E23,205966499.39000046,4971753.260000084,0.3397232397232397,0.9537815126050421,-0.21087332711567747
E24,162585385.94,76354716.53000018,0.2522560975609756,0.9708193041526375,0.13864787254056982
E25,48030622.91000002,38026434.04,0.23159115820241138,0.9805725971370143,-0.3799100890917796
E26,44543304.50999999,1897893.9900000235,0.30493506493506495,0.9523809523809523,0.32763931538256746
E27,49147635.909999974,257961.7199999564,0.22516150002031443,0.967983651226158,0.3556840526551315
E28,58020604.20999999,56605850.73999998,0.31999999999999995,0.9859402460456942,0.2917403445501366
E29,46886153.879999995,46699535.44,0.21363636363636362,0.9873684210526316,2.1685851641246416
E30,82027026.31999964,57806129.95999959,0.20581280788177336,0.98,-0.16494535220554796
E31,55783979.129999995,50724771.550000004,0.32381083562901747,0.9888803680981595,0.27544037805802934
E32,47156305.48,44613729.76000002,0.18902571532053603,0.9692028985507246,1.4454487852212552
E33,86828105.89000008,17183349.730000123,0.18687150837988825,0.9934762348555451,-0.44290139698691977
E34,98417550.56,45567698.90999996,0.12273092369477911,0.9844413012729845,1.3928081413570914
E35,39929387.12000001,6477464.890000006,0.34705882352941175,0.9857142857142858,0.8697451370741565
E36,43168441.210000016,20768035.11000005,0.2660413744740533,0.9935358758888171,0.40312844915663726
E37,55593913.24000001,5515594.550000119,0.2233518506124088,0.9890023566378633,0.12406533706161937
E38,56081480.99000002,42918947.07000002,0.22715517241379307,0.9936305732484076,-0.0824799909185998
E39,33055263.680000003,32682023.220000006,0.22954545454545455,0.9583333333333334,0.37949040709631243
E40,32583914.530000005,28097579.170000035,0.12320255766156654,0.9071347678369196,0.5759455917247869
E41,31753575.450000018,26364848.120000057,0.3102987421383648,0.8763197586726998,1.2192131723084707
E42,24564600.619999994,24552831.619999994,0.02608695652173913,0.8440366972477065,0.7800231317331188
E43,19622811.420000013,15726281.670000013,0.21052631578947367,0.8734693877551021,0.267416961067218
E44,37574469.87000003,3192838.570000017,0.38615249780893945,0.9297741273100616,0.5575875294356326
E45,27698410.350000005,780121.1499999963,0.14618104667609616,0.9353846153846154,2.8370319191117983
E46,64527649.82000001,11824106.410000056,0.17274970963995354,0.9496919917864476,-0.27536382586487335
E47,57749552.21000008,9819697.340000032,0.34478138063495645,0.9556566230812962,-0.15593037565783405
E48,54739785.77999999,40362490.43000003,0.2838293838862559,0.906496062992126,0.8464675582682942
E49,40996115.29,16495383.25000002,0.13630379746835442,0.9415204678362573,-0.0518099649234045
E50,20398562.26000001,18518565.97000001,0.29,0.9298245614035088,2.374590099033545
E51,30184865.000000007,7625773.1000000015,0.2685185185185185,0.9385474860335196,1.1111000345415225
E52,24256997.529999983,5819580.9899999825,0.11172566371681415,0.9709762532981531,1.8159118461614303
E53,39373998.35,4430691.4000000125,0.15899999999999997,0.9251101321585903,0.614295829102663
E54,39940089.550000004,31776163.809999987,0.25771611991772797,0.9551556698086261,0.177503251483875
E55,27114710.069999993,16253941.789999997,0.25687855787476277,0.9677966101694915,0.11467878335750586
E56,31896888.129999995,3733172.779999998,0.20654515327257664,0.9838383838383838,0.521743635579426
E57,40172283.24,8348812.689999998,0.12277777777777776,0.95662100456621,0.910564736928377
E58,31887776.34000001,24775484.10000001,0.17053571428571426,0.9664948453608248,0.5487634610846899
E59,30704181.530000005,9518255.169999992,0.2505395683453237,0.9255467659376454,-0.2789549795273197
E60,11726095.0,6350672.429999997,0.16323529411764703,0.9571150097465887,0.1434834879800309
E61,18084277.799999997,17152246.619999982,0.34444444444444444,0.9457831325301205,-0.3089615000502464
E62,12002899.360000001,10764028.380000006,0.2162181818181818,0.9634703196347032,-0.26165185421513826
E63,56285797.680000015,16845612.81000006,0.13001101321585903,0.9658246656760773,-0.9530971671712415
E64,8722134.000000004,8631499.950000003,0.23124999999999998,0.9163636363636364,0.07674067756456396
E65,8191463.170000007,3351897.2800000077,0.3568362480127185,0.9360824742268041,-0.10280066992940362
E66,5174187.650000001,-203920.65999999543,0.3331914893617021,0.9499263622974963,9.763452091500211
E67,5465252.0,4174953.0499999966,0.193859649122807,0.9162790697674419,1.4398944793651696
E68,5141609.95,5140869.95,0.425,0.8082191780821918,-0.5466408632036557
