企业代号,计算信用评级,是否贷款,贷款金额,贷款利率
E1,A,是,100,0.0705
E2,A,是,100,0.0585
E3,A,是,100,0.0585
E4,A,是,100,0.04
E5,A,是,100,0.1225
E6,A,是,100,0.0505
E7,A,是,100,0.0865
E8,A,是,100,0.0745
E9,A,是,100,0.1065
E10,A,是,100,0.0465
E11,A,是,100,0.0665
E12,A,是,100,0.0985
E13,A,是,100,0.1385
E14,A,是,100,0.0785
E15,A,是,100,0.0505
E16,A,是,100,0.1265
E17,A,是,100,0.1105
E18,A,是,100,0.0705
E19,A,是,100,0.0545
E20,A,是,100,0.1105
E21,B,是,99.737,0.1185
E22,A,是,100,0.0545
E23,A,是,100,0.1425
E24,A,是,100,0.1465
E25,B,是,99.737,0.0825
E26,B,是,99.737,0.1145
E27,B,是,99.737,0.1145
E28,A,是,100,0.0665
E29,B,是,99.737,0.0825
E30,A,是,100,0.1425
E31,A,是,100,0.1345
E32,B,是,99.737,0.0825
E33,B,是,99.737,0.1185
E34,A,是,100,0.0665
E35,B,是,99.737,0.1145
E36,B,是,99.737,0.0905
E37,B,是,99.737,0.0425
E38,B,是,99.737,0.0825
E39,B,是,99.737,0.1185
E40,B,是,99.737,0.0905
E41,B,是,99.737,0.0905
E42,B,是,99.737,0.15
E43,B,是,99.737,0.0425
E44,B,是,99.737,0.1145
E45,B,是,99.737,0.1025
E46,B,是,99.737,0.0905
E47,B,是,99.737,0.15
E48,B,是,99.737,0.0825
E49,B,是,99.737,0.15
E50,B,是,99.737,0.0425
E51,B,是,99.737,0.1145
E52,B,是,99.737,0.1145
E53,B,是,99.737,0.1145
E54,B,是,99.737,0.1185
E55,B,是,99.737,0.0425
E56,B,是,99.737,0.1145
E57,B,是,99.737,0.0425
E58,B,是,99.737,0.0905
E59,B,是,99.737,0.1145
E60,B,是,99.737,0.1025
E61,B,是,99.737,0.0425
E62,B,是,99.737,0.1145
E63,B,是,99.737,0.0905
E64,B,是,99.737,0.1025
E65,C,是,94.118,0.1305
E66,C,是,94.118,0.0625
E67,C,是,94.118,0.1305
E68,C,是,94.118,0.1305
E69,C,是,94.118,0.1305
E70,C,是,94.118,0.1025
E71,C,是,94.118,0.1305
E72,C,是,94.118,0.1305
E73,C,是,94.118,0.1025
E74,C,是,94.118,0.1305
E75,C,是,94.118,0.1305
E76,C,是,94.118,0.1305
E77,C,是,94.118,0.1305
E78,B,是,99.737,0.1025
E79,C,是,94.118,0.0625
E80,C,是,94.118,0.0625
E81,C,是,94.118,0.1305
E82,C,是,94.118,0.1305
E83,D,否,-,-
E84,C,是,94.118,0.1305
E85,C,是,94.118,0.1305
E86,C,是,94.118,0.1305
E87,C,是,94.118,0.1305
E88,C,是,94.118,0.1305
E89,D,否,-,-
E90,C,是,94.118,0.1305
E91,C,是,94.118,0.0625
E92,C,是,94.118,0.1305
E93,C,是,94.118,0.0625
E94,C,是,94.118,0.0625
E95,C,是,94.118,0.1305
E96,D,否,-,-
E97,C,是,94.118,0.0625
E98,C,是,94.118,0.0625
E99,D,否,-,-
E100,D,否,-,-
E101,D,否,-,-
E102,D,否,-,-
E103,C,是,94.118,0.0625
E104,D,否,-,-
E105,C,是,94.118,0.0625
E106,D,否,-,-
E107,C,是,94.118,0.0625
E108,D,否,-,-
E109,D,否,-,-
E110,D,否,-,-
E111,C,是,94.118,0.0625
E112,D,否,-,-
E113,D,否,-,-
E114,D,否,-,-
E115,D,否,-,-
E116,D,否,-,-
E117,D,否,-,-
E118,D,否,-,-
E119,D,否,-,-
E120,D,否,-,-
E121,D,否,-,-
E122,D,否,-,-
E123,D,否,-,-
