企业代号,风险量化,风险评级
E1,0.560792,A
E2,0.265727,A
E3,0.268811,A
E4,0.019442,A
E5,0.595117,A
E6,0.479319,A
E7,0.292501,A
E8,0.409513,A
E9,0.384963,A
E10,0.371767,A
E11,0.604270,A
E12,0.500484,A
E13,0.494187,A
E14,0.514154,A
E15,0.478280,A
E16,0.471419,A
E17,0.576914,A
E18,0.556519,A
E19,0.591069,A
E20,0.580035,A
E21,0.625581,B
E22,0.587450,A
E23,0.601539,A
E24,0.570835,A
E25,0.620105,B
E26,0.641754,B
E27,0.641787,B
E28,0.607434,A
E29,0.615434,B
E30,0.601308,A
E31,0.611235,A
E32,0.616554,B
E33,0.623675,B
E34,0.604454,A
E35,0.639994,B
E36,0.631024,B
E37,0.637354,B
E38,0.615589,B
E39,0.626264,B
E40,0.628972,B
E41,0.630130,B
E42,0.632597,B
E43,0.638611,B
E44,0.642387,B
E45,0.645728,B
E46,0.631749,B
E47,0.634369,B
E48,0.617335,B
E49,0.633943,B
E50,0.636860,B
E51,0.641252,B
E52,0.643449,B
E53,0.641304,B
E54,0.625366,B
E55,0.636856,B
E56,0.643188,B
E57,0.638851,B
E58,0.631013,B
E59,0.640050,B
E60,0.645494,B
E61,0.638088,B
E62,0.642901,B
E63,0.630564,B
E64,0.644732,B
E65,0.647871,C
E66,0.650469,C
E67,0.647888,C
E68,0.647390,C
E69,0.648257,C
E70,0.645784,C
E71,0.647890,C
E72,0.648758,C
E73,0.646252,C
E74,0.648272,C
E75,0.647461,C
E76,0.648470,C
E77,0.648289,C
E78,0.645376,B
E79,0.650276,C
E80,0.649844,C
E81,0.649525,C
E82,0.649703,C
E83,0.670512,D
E84,0.647365,C
E85,0.649163,C
E86,0.649007,C
E87,0.648961,C
E88,0.649401,C
E89,0.651115,D
E90,0.648059,C
E91,0.649995,C
E92,0.649603,C
E93,0.650251,C
E94,0.650366,C
E95,0.649470,C
E96,0.651623,D
E97,0.650566,C
E98,0.650278,C
E99,0.652832,D
E100,0.650786,D
E101,0.650833,D
E102,0.653114,D
E103,0.650167,C
E104,0.651054,D
E105,0.650618,C
E106,0.650848,D
E107,0.650631,C
E108,0.651181,D
E109,0.650814,D
E110,0.651078,D
E111,0.650399,C
E112,0.650741,D
E113,0.651824,D
E114,0.651523,D
E115,0.651184,D
E116,0.651071,D
E117,0.650761,D
E118,0.651061,D
E119,0.651381,D
E120,0.651158,D
E121,0.651910,D
E122,0.651251,D
E123,0.651074,D
