企业代号,风险量化,贷款利率
E1,0.560792,0.0825
E2,0.265727,0.0425
E3,0.268811,0.0425
E4,0.019442,0.04
E5,0.595117,0.0985
E6,0.479319,0.0665
E7,0.292501,0.0465
E8,0.409513,0.0585
E9,0.384963,0.0545
E10,0.371767,0.0505
E11,0.604270,0.1065
E12,0.500484,0.0745
E13,0.494187,0.0705
E14,0.514154,0.0785
E15,0.478280,0.0665
E16,0.471419,0.0625
E17,0.576914,0.0905
E18,0.556519,0.0825
E19,0.591069,0.0945
E20,0.580035,0.0905
E21,0.625581,0.1185
E22,0.587450,0.0945
E23,0.601539,0.1025
E24,0.570835,0.0865
E25,0.620105,0.1145
E26,0.641754,0.1345
E27,0.641787,0.1345
E28,0.607434,0.1065
E29,0.615434,0.1145
E30,0.601308,0.1025
E31,0.611235,0.1105
E32,0.616554,0.1145
E33,0.623675,0.1185
E34,0.604454,0.1065
E35,0.639994,0.1345
E36,0.631024,0.1225
E37,0.637354,0.1305
E38,0.615589,0.1145
E39,0.626264,0.1185
E40,0.628972,0.1225
E41,0.630130,0.1225
E42,0.632597,0.1265
E43,0.638611,0.1305
E44,0.642387,0.1345
E45,0.645728,0.1385
E46,0.631749,0.1225
E47,0.634369,0.1265
E48,0.617335,0.1145
E49,0.633943,0.1265
E50,0.636860,0.1305
E51,0.641252,0.1345
E52,0.643449,0.1345
E53,0.641304,0.1345
E54,0.625366,0.1185
E55,0.636856,0.1305
E56,0.643188,0.1345
E57,0.638851,0.1305
E58,0.631013,0.1225
E59,0.640050,0.1345
E60,0.645494,0.1385
E61,0.638088,0.1305
E62,0.642901,0.1345
E63,0.630564,0.1225
E64,0.644732,0.1385
E65,0.647871,0.1425
E66,0.650469,0.1465
E67,0.647888,0.1425
E68,0.647390,0.1425
E69,0.648257,0.1425
E70,0.645784,0.1385
E71,0.647890,0.1425
E72,0.648758,0.1425
E73,0.646252,0.1385
E74,0.648272,0.1425
E75,0.647461,0.1425
E76,0.648470,0.1425
E77,0.648289,0.1425
E78,0.645376,0.1385
E79,0.650276,0.1465
E80,0.649844,0.1465
E81,0.649525,0.1425
E82,0.649703,0.1425
E83,0.670512,0.15
E84,0.647365,0.1425
E85,0.649163,0.1425
E86,0.649007,0.1425
E87,0.648961,0.1425
E88,0.649401,0.1425
E89,0.651115,0.1465
E90,0.648059,0.1425
E91,0.649995,0.1465
E92,0.649603,0.1425
E93,0.650251,0.1465
E94,0.650366,0.1465
E95,0.649470,0.1425
E96,0.651623,0.1465
E97,0.650566,0.1465
E98,0.650278,0.1465
E99,0.652832,0.1465
E100,0.650786,0.1465
E101,0.650833,0.1465
E102,0.653114,0.1465
E103,0.650167,0.1465
E104,0.651054,0.1465
E105,0.650618,0.1465
E106,0.650848,0.1465
E107,0.650631,0.1465
E108,0.651181,0.1465
E109,0.650814,0.1465
E110,0.651078,0.1465
E111,0.650399,0.1465
E112,0.650741,0.1465
E113,0.651824,0.1465
E114,0.651523,0.1465
E115,0.651184,0.1465
E116,0.651071,0.1465
E117,0.650761,0.1465
E118,0.651061,0.1465
E119,0.651381,0.1465
E120,0.651158,0.1465
E121,0.651910,0.1465
E122,0.651251,0.1465
E123,0.651074,0.1465
